Date,Average Daily Wind Speed (mph),Precipitation (in),Average Temperature (F),Maximum Temperature (F),Minimum Temperature (F)
1/1/2019,9.4,0,48,55,42
1/2/2019,11.86,2.22,43,46,39
1/3/2019,9.4,0.25,41,45,34
1/4/2019,5.14,0,43,60,33
1/5/2019,3.8,0,51,71,38
1/6/2019,10.51,0,56,72,44
1/7/2019,8.95,0,64,73,61
1/8/2019,5.82,0,63,75,56
1/9/2019,8.95,0,56,61,44
1/10/2019,4.25,0,50,59,40
1/11/2019,9.62,0.5,55,65,45
1/12/2019,10.51,0,57,59,43
1/13/2019,9.17,0,46,53,39
1/14/2019,6.04,0,42,52,36
1/15/2019,3.13,0,46,52,44
1/16/2019,6.04,0.08,51,58,47
1/17/2019,8.05,0.01,61,72,50
1/18/2019,7.16,0.09,56,67,49
1/19/2019,19.69,0.14,55,67,36
1/20/2019,6.04,0,39,51,29
1/21/2019,13.42,0,47,64,36
1/22/2019,15.43,0.84,62,70,42
1/23/2019,12.08,0.38,44,48,34
1/24/2019,4.25,0,42,59,29
1/25/2019,5.59,0,47,60,36
1/26/2019,5.14,0.17,51,59,43
1/27/2019,3.36,0,49,60,41
1/28/2019,10.96,0.13,54,69,43
1/29/2019,10.51,0,45,50,34
1/30/2019,7.16,0,44,51,39
1/31/2019,7.16,0.02,51,63,46
2/1/2019,5.37,0,58,70,54
2/2/2019,7.16,0.08,62,67,58
2/3/2019,8.72,0,63,70,60
2/4/2019,7.61,0,68,75,66
2/5/2019,11.18,0,70,78,67
2/6/2019,14.32,0,72,77,69
2/7/2019,16.33,0.76,65,73,39
2/8/2019,14.32,0.01,37,39,33
2/9/2019,9.17,0.03,36,40,35
2/10/2019,5.37,0.08,42,49,39
2/11/2019,5.14,0.06,53,66,48
2/12/2019,12.3,0,58,62,42
2/13/2019,8.5,0,49,64,32
2/14/2019,12.53,0,60,75,51
2/15/2019,8.5,0,65,82,56
2/16/2019,8.05,0,54,65,44
2/17/2019,13.65,0,53,59,47
2/18/2019,12.53,0,52,63,45
2/19/2019,10.51,0.19,46,48,42
2/20/2019,6.93,0.03,47,62,40
2/21/2019,10.29,0.01,51,55,48
2/22/2019,6.26,0.45,50,54,48
2/23/2019,10.07,0.04,61,74,54
2/24/2019,9.17,0,55,64,43
2/25/2019,9.62,0,53,64,44
2/26/2019,6.26,0.36,55,59,53
2/27/2019,3.8,0,61,70,51
2/28/2019,10.51,0,46,51,37
3/1/2019,5.14,0,45,53,42
3/2/2019,7.38,0,51,56,48
3/3/2019,15.66,0.01,48,49,34
3/4/2019,15.21,0,33,35,29
3/5/2019,10.74,0,34,47,26
3/6/2019,10.29,0,42,58,32
3/7/2019,9.62,0,57,72,51
3/8/2019,13.87,0,71,79,67
3/9/2019,10.29,0.11,74,84,62
3/10/2019,4.92,0,71,82,65
3/11/2019,8.05,0,67,72,61
3/12/2019,13.42,0,65,78,61
3/13/2019,13.2,0.54,65,73,54
3/14/2019,11.63,0.56,67,73,55
3/15/2019,13.42,0,55,62,47
3/16/2019,7.16,0,53,63,45
3/17/2019,5.37,0,57,67,47
3/18/2019,4.25,0,57,70,46
3/19/2019,6.71,0,59,72,48
3/20/2019,5.59,0,62,76,51
3/21/2019,2.91,0,62,76,46
3/22/2019,5.82,0,63,79,50
3/23/2019,11.41,0,65,76,58
3/24/2019,8.72,0,69,82,62
3/25/2019,9.84,0.03,72,81,62
3/26/2019,7.61,0,65,76,54
3/27/2019,8.05,0,63,75,52
3/28/2019,11.41,0,64,78,52
3/29/2019,13.2,0,69,80,61
3/30/2019,14.76,0,65,72,50
3/31/2019,11.41,0,50,57,42
4/1/2019,4.47,0,49,59,39
4/2/2019,5.14,0,53,70,37
4/3/2019,10.74,0.01,60,72,50
4/4/2019,6.93,0.04,71,86,62
4/5/2019,7.16,0,72,82,67
4/6/2019,8.95,0.37,71,74,65
4/7/2019,9.17,1.16,69,72,61
4/8/2019,9.17,0.02,68,83,61
4/9/2019,2.46,0,72,87,55
4/10/2019,14.76,0,75,89,61
4/11/2019,9.17,0,73,82,58
4/12/2019,9.17,0.01,65,79,55
4/13/2019,14.32,0.2,67,76,47
4/14/2019,9.4,0,56,70,46
4/15/2019,11.18,0,64,81,50
4/16/2019,14.09,0,70,82,60
4/17/2019,14.09,0.01,72,77,68
4/18/2019,11.63,1.66,68,74,56
4/19/2019,12.3,0,63,72,50
4/20/2019,4.7,0,61,77,46
4/21/2019,12.97,0,69,83,56
4/22/2019,10.07,0,71,81,63
4/23/2019,9.84,0,71,78,66
4/24/2019,7.83,2.07,69,73,63
4/25/2019,7.16,0,67,82,58
4/26/2019,5.37,0,71,81,61
4/27/2019,10.51,0,72,84,62
4/28/2019,10.07,0,72,84,63
4/29/2019,13.42,0,75,87,67
4/30/2019,17.9,0,79,87,75
5/1/2019,13.65,0,78,84,74
5/2/2019,9.84,2.09,74,83,63
5/3/2019,7.83,2.81,69,79,65
5/4/2019,8.5,0.09,71,82,61
5/5/2019,6.26,0,73,84,64
5/6/2019,6.71,0,74,83,65
5/7/2019,9.17,0.6,75,84,69
5/8/2019,5.82,0.88,71,76,66
5/9/2019,8.95,0,78,88,66
5/10/2019,10.96,0,65,72,57
5/11/2019,8.28,0.06,64,68,60
5/12/2019,7.61,0,67,76,62
5/13/2019,3.58,0,71,84,57
5/14/2019,4.25,0,74,85,63
5/15/2019,5.14,0,76,86,66
5/16/2019,6.04,0,76,87,64
5/17/2019,12.08,0,77,89,68
5/18/2019,13.42,0.08,80,86,76
5/19/2019,7.16,0,82,93,77
5/20/2019,18.12,0,83,92,76
5/21/2019,10.51,0.03,78,84,65
5/22/2019,16.11,0,82,93,76
5/23/2019,15.21,0,83,92,77
5/24/2019,13.42,0,83,92,76
5/25/2019,11.41,0,81,92,73
5/26/2019,11.41,0,82,92,74
5/27/2019,11.86,0,80,90,72
5/28/2019,16.11,0,82,93,74
5/29/2019,15.21,0,83,91,77
5/30/2019,5.82,0,79,87,70
5/31/2019,6.49,1.26,80,88,72
6/1/2019,4.25,0,80,91,72
6/2/2019,4.7,0,84,93,76
6/3/2019,6.04,0,84,93,75
6/4/2019,6.04,0.19,83,90,74
6/5/2019,8.28,1.85,77,82,74
6/6/2019,5.37,0.11,78,88,70
6/7/2019,7.16,0,80,90,71
6/8/2019,6.26,0,82,94,72
6/9/2019,7.83,0,85,95,76
6/10/2019,11.63,0,81,87,74
6/11/2019,6.93,0,78,86,72
6/12/2019,2.68,0,78,89,68
6/13/2019,7.61,0,81,89,72
6/14/2019,10.96,0,81,91,71
6/15/2019,13.2,0,83,95,74
6/16/2019,11.63,1.63,81,88,63
6/17/2019,5.37,0.17,74,87,67
6/18/2019,4.92,0,83,92,74
6/19/2019,11.41,0.05,85,95,71
6/20/2019,12.97,0,83,94,71
6/21/2019,14.32,0,86,94,81
6/22/2019,15.88,0,86,93,82
6/23/2019,16.11,0.01,86,94,81
6/24/2019,9.4,0.52,78,84,69
6/25/2019,10.51,0,79,91,71
6/26/2019,6.93,0.23,78,91,71
6/27/2019,4.03,0.07,79,92,73
6/28/2019,3.36,0,80,92,73
6/29/2019,6.71,0.08,82,92,70
6/30/2019,4.25,0.04,75,86,69
7/1/2019,6.26,0.17,80,89,74
7/2/2019,6.71,0,81,90,74
7/3/2019,7.61,0,80,89,74
7/4/2019,12.08,0,84,94,75
7/5/2019,10.51,0,84,94,77
7/6/2019,6.71,0,84,94,75
7/7/2019,5.82,0,85,94,76
7/8/2019,6.49,0,85,94,77
7/9/2019,8.95,0,86,96,78
7/10/2019,6.71,0,86,95,74
7/11/2019,9.84,0,84,95,73
7/12/2019,9.84,0,87,94,79
7/13/2019,11.41,0.01,85,95,78
7/14/2019,7.16,0,83,92,76
7/15/2019,6.26,0,84,95,78
7/16/2019,11.41,0,86,97,79
7/17/2019,10.29,0,86,97,78
7/18/2019,10.51,0,86,96,77
7/19/2019,10.74,0,86,97,76
7/20/2019,9.17,0,86,97,77
7/21/2019,7.61,0,85,97,75
7/22/2019,5.14,0,86,98,77
7/23/2019,12.53,0,84,91,77
7/24/2019,10.51,0,80,89,70
7/25/2019,6.93,0,80,91,68
7/26/2019,4.7,0,81,94,68
7/27/2019,5.59,0,84,97,73
7/28/2019,9.84,0,85,95,75
7/29/2019,9.84,0,86,98,77
7/30/2019,7.83,0,88,100,77
7/31/2019,5.82,0,85,101,76
8/1/2019,4.25,0,86,98,76
8/2/2019,3.58,0.38,85,97,77
8/3/2019,3.8,0.07,82,90,77
8/4/2019,4.47,0.09,83,93,78
8/5/2019,3.58,0.09,85,98,76
8/6/2019,5.59,0,86,98,77
8/7/2019,8.28,0,87,99,78
8/8/2019,10.51,0,88,100,79
8/9/2019,10.29,0,88,100,80
8/10/2019,8.5,0,88,100,77
8/11/2019,7.61,0,88,101,78
8/12/2019,9.62,0,89,101,79
8/13/2019,8.05,0,90,101,79
8/14/2019,5.82,0.57,89,102,80
8/15/2019,5.14,0,85,99,77
8/16/2019,6.49,0,88,99,78
8/17/2019,9.62,0,88,100,79
8/18/2019,10.51,0,89,100,79
8/19/2019,7.16,0,88,101,78
8/20/2019,7.16,0,87,99,78
8/21/2019,7.38,0,86,99,77
8/22/2019,6.71,0,86,99,76
8/23/2019,6.26,0,86,100,77
8/24/2019,4.92,0.04,85,98,77
8/25/2019,6.93,0.28,85,98,75
8/26/2019,12.3,0,88,100,80
8/27/2019,6.93,0,88,97,81
8/28/2019,4.7,0.54,85,94,78
8/29/2019,4.47,0,85,96,76
8/30/2019,4.92,0.04,86,96,76
8/31/2019,5.14,0,83,95,76
9/1/2019,4.47,0,85,97,76
9/2/2019,6.26,0,86,99,73
9/3/2019,6.71,0,87,99,76
9/4/2019,7.16,0,88,100,77
9/5/2019,2.68,0,87,99,74
9/6/2019,4.25,0,87,100,75
9/7/2019,5.59,0,86,99,74
9/8/2019,6.93,0,86,99,73
9/9/2019,8.05,0.17,83,96,74
9/10/2019,5.59,0.33,81,95,73
9/11/2019,6.04,1.05,81,94,74
9/12/2019,5.82,0,81,94,74
9/13/2019,3.13,0,84,96,74
9/14/2019,5.82,0,85,99,75
9/15/2019,4.7,0,85,96,73
9/16/2019,6.93,0,85,97,75
9/17/2019,10.29,0.02,80,89,75
9/18/2019,5.82,0.09,79,87,75
9/19/2019,6.93,0.52,80,89,75
9/20/2019,10.96,0.36,81,92,76
9/21/2019,9.17,0,81,92,75
9/22/2019,7.83,0,82,93,75
9/23/2019,6.71,0,84,94,78
9/24/2019,8.72,0,84,94,76
9/25/2019,6.04,0,82,93,72
9/26/2019,5.82,0,82,92,73
9/27/2019,9.17,0,81,91,73
9/28/2019,10.29,0,83,94,77
9/29/2019,9.62,0,84,94,77
9/30/2019,10.07,0,83,95,76
10/1/2019,9.62,0,83,95,75
10/2/2019,6.49,0,83,95,73
10/3/2019,4.92,0,83,95,72
10/4/2019,5.59,0,84,95,73
10/5/2019,3.13,0,84,97,74
10/6/2019,4.03,0,83,95,74
10/7/2019,11.86,0,77,79,70
10/8/2019,6.26,0,73,86,62
10/9/2019,9.62,0,76,92,64
10/10/2019,13.65,0,84,96,74
10/11/2019,13.87,0.52,65,79,48
10/12/2019,8.95,0,59,67,53
10/13/2019,4.47,0,65,79,57
10/14/2019,5.82,0.1,76,88,69
10/15/2019,5.59,0.08,81,92,77
10/16/2019,11.41,0,71,77,57
10/17/2019,6.26,0,64,78,54
10/18/2019,5.14,0,65,83,51
10/19/2019,5.82,0,76,93,65
10/20/2019,9.62,0,77,94,64
10/21/2019,10.07,0.26,77,82,63
10/22/2019,4.47,0,67,82,53
10/23/2019,11.18,0,69,85,55
10/24/2019,11.63,0.95,72,86,54
10/25/2019,16.33,0.19,56,54,48
10/26/2019,7.83,0,56,71,50
10/27/2019,6.71,0,63,80,50
10/28/2019,6.49,0,67,79,59
10/29/2019,7.61,0.41,66,68,54
10/30/2019,13.65,0.55,52,54,43
10/31/2019,11.63,0,45,55,36
11/1/2019,3.36,0,45,63,32
11/2/2019,4.03,0,55,71,39
11/3/2019,6.49,0,56,73,42
11/4/2019,8.28,0,64,80,53
11/5/2019,5.59,0,73,85,64
11/6/2019,8.05,0,74,85,64
11/7/2019,10.29,0.11,64,70,47
11/8/2019,10.29,0.02,50,54,45
11/9/2019,2.01,0,52,69,42
11/10/2019,6.71,0,59,77,45
11/11/2019,13.87,0.19,64,76,35
11/12/2019,16.55,0.01,38,46,31
11/13/2019,4.7,0,37,45,28
11/14/2019,6.49,0.62,44,46,37
11/15/2019,3.8,0,47,64,34
11/16/2019,2.01,0,49,64,34
11/17/2019,2.91,0,54,70,42
11/18/2019,1.34,0,58,73,46
11/19/2019,4.25,0,61,80,47
11/20/2019,13.42,0.01,69,83,58
11/21/2019,9.62,0.13,74,80,70
11/22/2019,9.4,0.08,64,71,49
11/23/2019,7.61,0,53,65,44
11/24/2019,4.03,0,53,72,40
11/25/2019,10.07,0,63,83,49
11/26/2019,10.51,0,72,79,66
11/27/2019,13.42,0,63,71,54
11/28/2019,7.38,0.03,58,63,53
11/29/2019,10.29,0.07,65,79,56
11/30/2019,12.53,0,78,86,62
12/1/2019,8.95,0,60,65,47
12/2/2019,6.04,0,52,65,39
12/3/2019,4.7,0,51,72,39
12/4/2019,3.8,0,58,74,40
12/5/2019,8.5,0,63,77,52
12/6/2019,11.18,0,67,73,53
12/7/2019,3.36,0,57,71,44
12/8/2019,10.07,0,60,75,50
12/9/2019,10.51,0,72,82,58
12/10/2019,14.76,0.4,53,58,44
12/11/2019,7.61,0,48,59,43
12/12/2019,3.58,0,49,62,39
12/13/2019,6.93,0,58,73,46
12/14/2019,5.82,0,57,76,43
12/15/2019,13.87,0,70,83,61
12/16/2019,13.87,0,61,72,39
12/17/2019,14.09,0,44,54,36
12/18/2019,2.91,0,43,61,28
12/19/2019,4.25,0,45,60,32
12/20/2019,6.71,0.08,49,56,43
12/21/2019,4.92,0,52,61,43
12/22/2019,6.04,0,47,59,36
12/23/2019,1.57,0,50,70,34
12/24/2019,3.36,0,54,72,39
12/25/2019,4.92,0,57,75,44
12/26/2019,5.14,0,63,75,56
12/27/2019,6.93,0,64,75,54
12/28/2019,10.96,0.08,67,75,60
12/29/2019,8.72,0,61,66,41
12/30/2019,6.71,0,49,61,35
12/31/2019,3.8,0,48,64,33
1/1/2020,4.25,0.05,53,59,48
1/2/2020,4.92,0.19,58,61,54
1/3/2020,7.61,0,55,64,46
1/4/2020,5.37,0,54,72,39
1/5/2020,8.95,0,57,75,43
1/6/2020,5.82,0,59,74,45
1/7/2020,4.25,0,56,69,40
1/8/2020,10.51,0,53,71,39
1/9/2020,13.42,0.04,66,75,59
1/10/2020,16.78,0.75,72,75,61
1/11/2020,12.3,0.01,56,62,39
1/12/2020,6.04,0,45,62,35
1/13/2020,4.7,0.04,54,66,47
1/14/2020,3.58,0.2,63,73,61
1/15/2020,8.72,0,73,82,67
1/16/2020,7.16,0,70,74,63
1/17/2020,10.07,0.1,65,74,61
1/18/2020,10.51,0.01,68,70,49
1/19/2020,12.3,0,51,61,41
1/20/2020,5.14,0,49,63,36
1/21/2020,6.71,0,50,64,38
1/22/2020,10.07,0.88,51,59,45
1/23/2020,8.05,0,58,59,43
1/24/2020,3.13,0,51,67,37
1/25/2020,8.28,0,54,68,43
1/26/2020,4.92,0.02,64,76,51
1/27/2020,5.59,0,54,59,49
1/28/2020,10.96,0.2,59,72,48
1/29/2020,12.53,0,50,53,47
1/30/2020,8.28,0,50,56,46
1/31/2020,5.82,0,51,59,42
2/1/2020,4.7,0,51,73,37
2/2/2020,8.05,0,59,80,41
2/3/2020,14.99,0,65,75,57
2/4/2020,12.3,0.01,71,79,51
2/5/2020,14.32,0.02,46,51,38
2/6/2020,11.18,0.01,41,53,33
2/7/2020,8.5,0,50,73,36
2/8/2020,10.74,0,57,72,47
2/9/2020,13.65,0.25,67,74,61
2/10/2020,8.72,0.18,67,72,48
2/11/2020,10.74,0.14,49,52,46
2/12/2020,6.71,0.45,51,56,45
2/13/2020,11.18,0,47,54,38
2/14/2020,7.16,0,45,61,33
2/15/2020,7.61,0,54,69,43
2/16/2020,7.38,0,65,76,59
2/17/2020,10.51,0,68,80,64
2/18/2020,6.49,0.23,72,78,53
2/19/2020,11.86,0.09,65,52,48
2/20/2020,14.09,0.61,48,54,45
2/21/2020,8.05,0,47,56,36
2/22/2020,5.82,0,48,64,40
2/23/2020,9.4,0,58,66,50
2/24/2020,7.16,0.14,67,71,52
2/25/2020,11.18,0,58,69,49
2/26/2020,14.99,0,51,56,35
2/27/2020,3.36,0,45,62,30
2/28/2020,4.03,0,53,73,36
2/29/2020,10.51,0,59,76,47
3/1/2020,13.87,0,66,76,60
3/2/2020,9.4,0,72,80,68
3/3/2020,5.37,0,73,80,68
3/4/2020,13.65,0.43,68,71,56
3/5/2020,8.72,0,62,76,51
3/6/2020,10.07,0,61,73,50
3/7/2020,7.16,0,56,62,48
3/8/2020,12.75,0,60,77,49
3/9/2020,10.51,0.2,67,70,63
3/10/2020,4.7,0,69,82,61
3/11/2020,8.95,0,72,82,64
3/12/2020,12.75,0,74,84,68
3/13/2020,11.41,0,74,84,68
3/14/2020,10.51,0,75,83,69
3/15/2020,6.71,0,70,78,63
3/16/2020,4.92,0,70,77,60
3/17/2020,10.51,0,74,85,68
3/18/2020,14.09,0,74,81,71
3/19/2020,13.2,0.05,75,82,72
3/20/2020,11.63,0.86,67,73,51
3/21/2020,10.07,0.82,53,59,49
3/22/2020,4.03,0.07,60,70,56
3/23/2020,9.62,0,73,84,69
3/24/2020,7.38,0,75,86,63
3/25/2020,6.04,0,72,87,61
3/26/2020,11.86,0,75,87,67
3/27/2020,13.87,0,77,89,70
3/28/2020,7.61,0.03,72,78,54
3/29/2020,5.14,0.03,62,78,49
3/30/2020,8.28,0,69,76,65
3/31/2020,10.51,0,68,73,55
4/1/2020,8.28,0,62,77,51
4/2/2020,9.62,0.07,66,77,58
4/3/2020,9.62,1.02,69,80,49
4/4/2020,9.4,0.23,49,53,46
4/5/2020,5.82,0,56,69,50
4/6/2020,6.04,0,68,78,61
4/7/2020,8.05,0,76,85,72
4/8/2020,7.16,0,78,89,72
4/9/2020,6.26,1.59,77,88,67
4/10/2020,9.62,0,68,73,61
4/11/2020,10.07,0,66,77,57
4/12/2020,12.08,0.14,76,85,61
4/13/2020,11.63,0,58,63,46
4/14/2020,12.3,0,56,66,46
4/15/2020,5.82,0,56,68,44
4/16/2020,9.62,0,62,77,48
4/17/2020,7.38,0,67,77,56
4/18/2020,7.61,0.02,60,71,55
4/19/2020,8.72,0.06,74,88,63
4/20/2020,5.82,0,71,83,65
4/21/2020,7.61,0,74,84,66
4/22/2020,9.84,0.19,74,81,67
4/23/2020,8.28,0,76,84,64
4/24/2020,9.62,0.03,74,92,59
4/25/2020,9.62,0,72,78,60
4/26/2020,4.25,0,70,85,54
4/27/2020,13.42,0,72,87,57
4/28/2020,13.65,0.01,78,87,72
4/29/2020,10.74,0.5,75,82,61
4/30/2020,4.7,0,69,83,53
5/1/2020,10.07,0,72,86,58
5/2/2020,12.3,0,75,88,64
5/3/2020,11.86,0,78,90,69
5/4/2020,12.97,0,80,91,72
5/5/2020,8.95,0,77,83,70
5/6/2020,8.5,0,74,85,62
5/7/2020,12.53,0,73,86,59
5/8/2020,16.11,0,77,88,61
5/9/2020,10.74,0,66,74,59
5/10/2020,5.59,0,66,80,53
5/11/2020,9.17,0,71,84,58
5/12/2020,8.05,1.36,71,79,66
5/13/2020,8.72,0,74,88,67
5/14/2020,9.17,0,79,91,71
5/15/2020,8.95,0,78,92,70
5/16/2020,10.51,1.1,71,76,65
5/17/2020,8.05,0.04,74,86,66
5/18/2020,3.8,0,78,92,65
5/19/2020,8.28,0,81,94,69
5/20/2020,8.5,0,82,93,74
5/21/2020,11.18,0,81,90,75
5/22/2020,12.75,0,83,93,75
5/23/2020,11.86,0,84,93,78
5/24/2020,11.41,0.26,78,88,66
5/25/2020,8.05,0.05,70,78,67
5/26/2020,5.14,0.02,74,83,66
5/27/2020,6.04,1.28,72,86,62
5/28/2020,4.03,0,72,89,63
5/29/2020,8.5,0,78,88,68
5/30/2020,6.26,0,78,87,67
5/31/2020,6.26,0,78,86,71
6/1/2020,5.37,0,79,86,74
6/2/2020,6.04,0,81,91,73
6/3/2020,3.8,0,80,92,72
6/4/2020,6.49,0,81,92,74
6/5/2020,5.82,0,83,92,74
6/6/2020,6.71,0.04,86,96,74
6/7/2020,7.61,0,84,95,76
6/8/2020,6.93,0,86,96,75
6/9/2020,10.29,0,87,96,79
6/10/2020,8.72,0,83,91,69
6/11/2020,4.92,0,79,92,62
6/12/2020,8.28,0,80,91,67
6/13/2020,8.28,0,82,93,70
6/14/2020,5.37,0,82,93,66
6/15/2020,5.82,0,83,95,71
6/16/2020,6.04,0,83,94,73
6/17/2020,7.38,0,82,93,70
6/18/2020,9.62,0,82,94,70
6/19/2020,11.18,0,83,96,72
6/20/2020,8.5,0.95,81,93,68
6/21/2020,8.72,0.28,81,94,75
6/22/2020,8.5,0.01,80,85,74
6/23/2020,5.82,0.22,78,87,73
6/24/2020,5.14,0.05,77,85,73
6/25/2020,6.71,0.9,78,87,74
6/26/2020,3.58,0,77,82,74
6/27/2020,11.18,0,82,92,76
6/28/2020,13.65,0,83,89,79
