Date,Average Daily Wind Speed (mph),Precipitation (in),Average Temperature (F),Maximum Temperature (F),Minimum Temperature (F)
6/29/2020,16.11,0,84,92,80
6/30/2020,14.76,0,85,94,80
7/1/2020,11.63,0,86,95,79
7/2/2020,8.72,0,86,96,79
7/3/2020,6.49,0,85,97,76
7/4/2020,5.59,0,83,97,73
7/5/2020,7.38,0,84,92,76
7/6/2020,9.4,0.01,86,95,79
7/7/2020,8.28,0.75,84,92,77
7/8/2020,10.74,0,85,96,77
7/9/2020,11.86,0,87,98,79
7/10/2020,8.05,0,87,98,78
7/11/2020,7.38,0,87,99,78
7/12/2020,8.72,0,88,100,78
7/13/2020,9.62,0,89,101,78
7/14/2020,12.08,0,88,100,78
7/15/2020,10.07,0,86,97,79
7/16/2020,7.83,0,87,99,77
7/17/2020,6.04,0,87,99,78
7/18/2020,6.93,0,84,96,75
7/19/2020,5.14,0,85,98,75
7/20/2020,6.71,0,85,96,76
7/21/2020,8.72,0,82,91,76
7/22/2020,6.93,0,83,92,78
7/23/2020,6.71,0,86,99,77
7/24/2020,9.62,0.07,87,98,79
7/25/2020,11.18,0.15,83,95,77
7/26/2020,7.83,0.06,80,93,76
7/27/2020,5.82,0.11,81,96,75
7/28/2020,3.8,1.43,81,95,76
7/29/2020,9.62,0.03,81,94,76
7/30/2020,10.96,0,85,96,77
7/31/2020,7.16,0.13,83,96,76
8/1/2020,2.91,0.31,82,95,72
8/2/2020,4.25,0.01,82,93,74
8/3/2020,2.91,0,82,97,71
8/4/2020,5.14,0,85,97,76
8/5/2020,6.71,0,86,96,76
8/6/2020,8.5,0,85,95,74
8/7/2020,7.83,0,86,96,75
8/8/2020,7.16,0,86,96,76
8/9/2020,10.29,0,86,97,77
8/10/2020,10.51,0,86,98,77
8/11/2020,9.62,0,87,98,77
8/12/2020,8.72,0,87,99,77
8/13/2020,7.61,0,88,99,79
8/14/2020,10.29,0,88,100,78
8/15/2020,8.05,0,89,101,78
8/16/2020,5.82,0,90,102,78
8/17/2020,6.04,0.04,85,95,71
8/18/2020,5.14,0,87,101,73
8/19/2020,6.93,0,85,98,72
8/20/2020,6.26,0,85,98,72
8/21/2020,5.37,0,85,99,72
8/22/2020,4.7,0.03,82,92,74
8/23/2020,4.47,0,83,97,72
8/24/2020,6.04,0,86,98,74
8/25/2020,9.17,0,88,100,77
8/26/2020,8.5,0.1,85,95,78
8/27/2020,5.82,0,84,98,75
8/28/2020,9.84,0.09,89,103,75
8/29/2020,8.28,0,83,99,76
8/30/2020,8.72,0,88,99,79
8/31/2020,12.75,0,89,100,80
9/1/2020,15.43,0,89,100,83
9/2/2020,5.82,0.04,83,89,75
9/3/2020,7.16,0.59,81,87,72
9/4/2020,6.93,0.88,77,86,72
9/5/2020,5.82,0.15,77,92,73
9/6/2020,3.8,0,80,94,72
9/7/2020,6.49,0,83,94,73
9/8/2020,6.04,0.07,80,85,76
9/9/2020,8.28,0.13,81,92,67
9/10/2020,10.07,0.17,68,73,61
9/11/2020,8.72,0,73,88,67
9/12/2020,8.05,0,80,93,71
9/13/2020,8.72,0.27,83,94,75
9/14/2020,10.51,0,81,90,74
9/15/2020,8.05,0.03,81,90,75
9/16/2020,7.61,0,83,92,74
9/17/2020,8.28,0,82,90,72
9/18/2020,12.53,0,79,89,72
9/19/2020,12.75,0,76,86,68
9/20/2020,11.41,0.08,72,86,62
9/21/2020,14.32,0.14,72,74,70
9/22/2020,13.42,1.22,71,73,70
9/23/2020,11.63,0.01,72,81,68
9/24/2020,6.71,0,71,74,67
9/25/2020,1.12,0,71,85,60
9/26/2020,7.38,0,75,88,64
9/27/2020,12.53,0,81,91,75
9/28/2020,15.43,0.04,75,79,61
9/29/2020,5.59,0,68,82,53
9/30/2020,3.36,0,68,85,53
10/1/2020,5.37,0,71,90,54
10/2/2020,6.49,0,71,83,58
10/3/2020,6.93,0,70,83,57
10/4/2020,5.59,0,72,86,58
10/5/2020,5.82,0,72,86,61
10/6/2020,3.8,0,73,88,61
10/7/2020,2.68,0,75,89,60
10/8/2020,7.61,0,76,89,68
10/9/2020,11.41,0,78,87,70
10/10/2020,3.8,0,76,90,65
10/11/2020,9.4,0,81,94,71
10/12/2020,9.17,0,80,88,69
10/13/2020,5.59,0,74,89,62
10/14/2020,8.05,0,74,89,64
10/15/2020,10.51,0,78,87,65
10/16/2020,11.63,0,67,76,55
10/17/2020,10.51,0,67,82,55
10/18/2020,12.53,0,78,89,70
10/19/2020,8.5,0,79,92,72
10/20/2020,8.95,0,80,89,72
10/21/2020,5.82,0,77,89,69
10/22/2020,6.93,0,77,89,69
10/23/2020,10.96,0.11,73,84,53
10/24/2020,8.5,0,57,68,50
10/25/2020,7.38,0,66,75,61
10/26/2020,11.41,0.13,69,81,49
10/27/2020,10.51,0.04,49,51,46
10/28/2020,9.62,0.17,47,55,40
10/29/2020,10.74,0,49,61,39
10/30/2020,5.59,0,55,71,43
10/31/2020,3.8,0,58,75,44
11/1/2020,7.16,0,63,79,49
11/2/2020,4.25,0,61,75,45
11/3/2020,4.03,0,59,78,43
11/4/2020,6.26,0,62,79,47
11/5/2020,7.61,0,69,81,60
11/6/2020,4.25,0,68,82,58
11/7/2020,3.58,0,67,82,52
11/8/2020,6.04,0,67,79,58
11/9/2020,8.95,0,73,84,66
11/10/2020,6.93,0,74,85,66
11/11/2020,7.38,0,71,84,61
11/12/2020,4.03,0,71,85,57
11/13/2020,4.47,0,69,76,63
11/14/2020,12.75,0,76,88,70
11/15/2020,11.41,0.03,71,76,50
11/16/2020,4.7,0,58,75,40
11/17/2020,4.47,0,59,78,41
11/18/2020,6.26,0,62,79,46
11/19/2020,8.5,0,65,81,51
11/20/2020,8.05,0,70,82,63
11/21/2020,5.14,0,71,82,64
11/22/2020,7.83,0,70,83,56
11/23/2020,8.5,0,58,63,53
11/24/2020,13.65,0.01,67,80,60
11/25/2020,8.05,0.33,66,75,49
11/26/2020,6.49,0,60,78,48
11/27/2020,7.61,0.27,70,73,61
11/28/2020,8.95,0.26,60,62,54
11/29/2020,12.3,0.06,54,59,47
11/30/2020,9.84,0,47,54,32
12/1/2020,8.05,0,43,63,29
12/2/2020,7.61,0.22,56,64,44
12/3/2020,10.96,0,46,55,38
12/4/2020,6.71,0,49,59,39
12/5/2020,2.68,0.02,46,56,34
12/6/2020,6.93,0,51,65,37
12/7/2020,6.49,0,53,67,41
12/8/2020,2.91,0,52,75,36
12/9/2020,2.46,0,56,81,38
12/10/2020,8.28,0,59,78,44
12/11/2020,4.25,0.57,64,68,60
12/12/2020,7.83,0,60,64,49
12/13/2020,12.75,0.2,54,61,42
12/14/2020,9.4,0,44,52,39
12/15/2020,6.49,0,45,50,40
12/16/2020,7.83,0,44,50,36
12/17/2020,2.91,0,42,59,29
12/18/2020,9.62,0,49,68,36
12/19/2020,6.71,1.28,60,65,49
12/20/2020,3.36,0,53,67,40
12/21/2020,3.58,0,53,72,39
12/22/2020,8.72,0,58,73,46
12/23/2020,14.32,0,65,78,50
12/24/2020,13.2,0,47,54,35
12/25/2020,3.36,0,47,65,33
12/26/2020,8.5,0,52,70,38
12/27/2020,10.07,0,61,76,49
12/28/2020,7.61,0,64,77,55
12/29/2020,15.66,0,65,75,57
12/30/2020,14.99,0.62,65,77,48
12/31/2020,12.53,1.7,48,49,39
1/1/2021,10.74,0,42,47,37
1/2/2021,6.26,0,45,57,39
1/3/2021,9.17,0,50,69,38
1/4/2021,4.7,0,58,75,43
1/5/2021,7.38,0,58,72,42
1/6/2021,11.41,1.64,61,71,46
1/7/2021,10.96,0,50,56,38
1/8/2021,7.83,0,45,53,37
1/9/2021,6.04,0,43,55,33
1/10/2021,10.74,0.82,41,46,33
1/11/2021,5.59,0,36,40,30
1/12/2021,2.01,0,37,50,26
1/13/2021,5.82,0,45,61,31
1/14/2021,10.29,0,51,66,40
1/15/2021,11.63,0,49,59,37
1/16/2021,5.59,0,47,60,32
1/17/2021,3.58,0,49,67,34
1/18/2021,10.29,0,54,73,38
1/19/2021,9.4,0.05,64,74,52
1/20/2021,6.71,0.01,54,61,51
1/21/2021,3.36,0.12,56,62,51
1/22/2021,4.7,0,62,69,55
1/23/2021,7.16,0,58,67,55
1/24/2021,8.72,0.05,65,73,62
1/25/2021,9.62,0,71,75,50
1/26/2021,6.49,0,59,75,46
1/27/2021,13.42,0,56,66,41
1/28/2021,6.71,0,45,57,36
1/29/2021,9.17,0,50,67,39
1/30/2021,11.18,0.02,63,75,56
1/31/2021,12.53,0,58,64,47
2/1/2021,9.17,0,51,65,40
2/2/2021,5.37,0,53,67,38
2/3/2021,11.63,0,56,73,45
2/4/2021,13.87,0,67,80,53
2/5/2021,8.5,0.08,52,54,46
2/6/2021,8.5,0,52,73,45
2/7/2021,8.95,0,51,66,38
2/8/2021,10.29,0,59,73,50
2/9/2021,7.83,0,57,63,48
2/10/2021,11.86,0.01,45,49,38
2/11/2021,15.66,0.14,35,38,32
2/12/2021,17,0,31,33,30
2/13/2021,15.21,0,30,33,28
2/14/2021,16.78,0,29,31,17
2/15/2021,14.32,0.43,16,20,9
2/16/2021,5.37,0.01,15,27,5
2/17/2021,12.97,1.09,30,34,26
2/18/2021,13.42,0,30,33,26
2/19/2021,5.14,0,29,41,20
2/20/2021,8.72,0,40,61,28
2/21/2021,10.51,0,56,73,43
2/22/2021,4.7,0,60,74,44
2/23/2021,9.4,0,59,79,42
2/24/2021,8.72,0,68,81,58
2/25/2021,7.16,0.03,64,68,55
2/26/2021,5.14,0.06,57,70,50
2/27/2021,11.63,0,68,81,60
2/28/2021,12.3,0,75,83,60
3/1/2021,15.66,0.43,56,60,48
3/2/2021,9.62,0.01,52,65,44
3/3/2021,3.58,0,53,69,40
3/4/2021,7.83,0,58,74,44
3/5/2021,9.84,0,62,80,50
3/6/2021,10.07,0,60,68,50
3/7/2021,6.93,0,57,70,43
3/8/2021,6.71,0,58,73,43
3/9/2021,13.42,0,65,76,56
3/10/2021,16.55,0,68,80,60
3/11/2021,14.99,0,73,80,68
3/12/2021,12.08,0,73,84,68
3/13/2021,14.99,0,72,82,65
3/14/2021,7.16,0.24,65,70,48
3/15/2021,4.92,0,61,82,44
3/16/2021,9.62,0,73,81,67
3/17/2021,16.33,0.48,72,78,51
3/18/2021,13.65,0,56,67,45
3/19/2021,9.62,0,54,66,43
3/20/2021,4.7,0,54,69,42
3/21/2021,8.5,0,57,71,44
3/22/2021,13.2,0,63,71,55
3/23/2021,4.7,0.55,67,80,59
3/24/2021,10.07,0,63,71,53
3/25/2021,8.5,0.02,66,74,54
3/26/2021,7.16,0,65,82,51
3/27/2021,8.5,0,74,83,68
3/28/2021,12.75,0,69,74,54
3/29/2021,6.93,0,60,75,44
3/30/2021,13.2,0,69,83,62
3/31/2021,13.42,0,70,74,54
4/1/2021,7.16,0,58,70,43
4/2/2021,7.83,0,57,70,42
4/3/2021,8.05,0.02,58,68,51
4/4/2021,5.82,0.08,60,73,52
4/5/2021,8.95,0.01,65,78,56
4/6/2021,16.33,0,72,85,66
4/7/2021,9.84,0.19,73,83,57
4/8/2021,7.61,0.22,67,86,50
4/9/2021,14.09,0,76,86,71
4/10/2021,11.41,0,72,79,57
4/11/2021,6.93,0,68,85,50
4/12/2021,9.17,0,71,84,57
4/13/2021,7.83,0.03,77,84,70
4/14/2021,7.16,0,74,79,68
4/15/2021,10.51,0.48,67,69,61
4/16/2021,9.62,0.07,64,71,60
4/17/2021,14.09,0,59,65,51
4/18/2021,8.05,0,57,69,49
4/19/2021,2.68,0,61,73,46
4/20/2021,10.51,0,66,82,50
4/21/2021,11.86,0,55,67,44
4/22/2021,10.07,0,60,72,49
4/23/2021,8.05,1.68,68,76,65
4/24/2021,10.07,0,70,81,62
4/25/2021,9.84,0,70,83,58
4/26/2021,13.42,0,73,83,65
4/27/2021,12.53,0,74,79,70
4/28/2021,17,0,78,87,74
4/29/2021,7.16,0.28,78,84,72
4/30/2021,9.62,0.23,72,76,69
5/1/2021,9.84,1.36,71,79,67
5/2/2021,11.63,0.04,74,87,66
5/3/2021,13.42,0,80,90,74
5/4/2021,8.72,0.44,77,79,65
5/5/2021,7.16,0,69,81,57
5/6/2021,5.82,0,73,86,61
5/7/2021,7.83,0,75,85,63
5/8/2021,14.99,0,75,88,62
5/9/2021,12.75,0,80,88,76
5/10/2021,7.38,0,80,87,70
5/11/2021,11.41,0.84,74,90,64
5/12/2021,12.3,0,65,67,61
5/13/2021,7.61,0,67,79,61
5/14/2021,6.71,0,73,81,66
5/15/2021,7.83,0,73,84,63
5/16/2021,10.07,0.03,73,79,68
5/17/2021,7.38,0.04,75,87,66
5/18/2021,11.18,1.84,73,86,66
5/19/2021,5.14,0.01,69,73,65
5/20/2021,4.92,0,74,84,68
5/21/2021,7.61,0,76,87,72
5/22/2021,12.3,0.26,76,82,73
5/23/2021,6.93,0.68,73,75,70
5/24/2021,8.05,0.55,74,81,71
5/25/2021,9.84,0.09,76,83,72
5/26/2021,8.72,0,80,90,73
5/27/2021,10.07,0,81,90,74
5/28/2021,12.97,1.01,80,89,69
5/29/2021,4.25,0,76,89,67
5/30/2021,8.95,0,78,85,73
5/31/2021,10.96,0.01,79,87,71
6/1/2021,6.71,1.29,77,83,71
6/2/2021,3.8,0.13,76,87,68
6/3/2021,6.26,0.06,75,84,68
6/4/2021,5.59,0,74,82,70
6/5/2021,3.58,0.02,76,87,72
6/6/2021,7.38,0,78,90,70
6/7/2021,10.07,0.02,81,87,75
6/8/2021,9.84,0.1,83,91,76
6/9/2021,10.29,0,85,94,78
6/10/2021,9.62,0,84,95,77
6/11/2021,10.07,0,85,93,79
6/12/2021,3.36,0,83,93,76
6/13/2021,4.03,0,86,97,78
6/14/2021,2.91,0,87,97,78
6/15/2021,6.04,0.37,87,97,73
6/16/2021,4.25,0,83,95,71
6/17/2021,3.8,0,86,97,76
6/18/2021,2.91,0,84,92,74
6/19/2021,4.47,0,84,94,72
6/20/2021,10.51,0,85,95,75
6/21/2021,9.4,0.27,84,90,73
6/22/2021,6.49,0.53,81,88,70
6/23/2021,8.05,0,84,95,76
6/24/2021,10.29,0,85,95,77
6/25/2021,10.07,0,86,95,78
6/26/2021,11.18,0,85,94,77
6/27/2021,5.82,0.06,82,90,74
6/28/2021,6.71,0.85,77,85,72
6/29/2021,7.16,0,79,88,75
6/30/2021,5.37,0,82,93,75
7/1/2021,2.91,0,84,92,76
7/2/2021,4.25,0,84,94,77
7/3/2021,3.8,0.51,79,85,74
7/4/2021,4.03,0.25,78,87,74
7/5/2021,5.37,0.18,79,92,76
7/6/2021,6.04,0.19,79,89,75
7/7/2021,5.37,0,80,88,73
7/8/2021,7.61,0.72,80,89,75
7/9/2021,9.62,0.23,77,84,71
7/10/2021,9.17,0,83,93,75
7/11/2021,5.59,0,82,91,74
7/12/2021,6.71,1.02,79,84,69
7/13/2021,3.13,0,78,93,72
7/14/2021,5.59,0.03,78,92,72
7/15/2021,7.83,0.2,82,91,77
7/16/2021,9.17,0,83,94,77
7/17/2021,6.93,0,84,93,76
7/18/2021,4.92,0,84,93,76
7/19/2021,5.59,0,83,93,77
7/20/2021,6.49,0,81,90,74
7/21/2021,5.37,0,82,91,75
7/22/2021,5.82,0.68,81,93,74
7/23/2021,8.5,0,82,95,75
7/24/2021,7.16,0,85,95,77
7/25/2021,5.37,0,84,95,75
7/26/2021,4.47,0,84,95,74
7/27/2021,4.03,0,86,95,75
7/28/2021,4.47,0,86,95,76
7/29/2021,3.36,0,86,96,78
7/30/2021,3.36,0,86,96,78
7/31/2021,5.82,0,85,96,77
8/1/2021,6.04,0,87,97,78
8/2/2021,6.71,0,83,87,76
8/3/2021,6.93,0,82,92,76
8/4/2021,7.16,0,84,93,76
8/5/2021,5.14,0,82,85,75
8/6/2021,5.37,0,81,92,74
8/7/2021,9.62,0.02,82,93,75
8/8/2021,11.18,0,85,96,78
8/9/2021,10.96,0,86,95,79
8/10/2021,10.29,0,87,97,78
8/11/2021,8.95,0,86,96,77
8/12/2021,6.49,0,85,97,77
8/13/2021,4.92,0,85,95,76
8/14/2021,4.47,0,85,97,76
8/15/2021,3.8,1.43,80,90,75
8/16/2021,4.25,0,81,93,74
8/17/2021,6.26,0,83,95,74
8/18/2021,7.16,0.71,81,91,76
8/19/2021,9.17,0,85,97,79
8/20/2021,9.17,0,86,95,77
8/21/2021,7.61,0,86,96,76
8/22/2021,5.59,0,85,96,74
8/23/2021,5.14,0,85,96,74
8/24/2021,5.82,0,86,96,76
8/25/2021,2.46,0.02,85,97,76
8/26/2021,3.8,0.01,87,98,78
8/27/2021,6.71,0,84,94,77
8/28/2021,6.49,0,84,93,77
8/29/2021,6.26,0,84,97,76
8/30/2021,6.26,0,86,97,76
8/31/2021,6.26,0,87,98,78
9/1/2021,5.37,0.03,87,98,77
9/2/2021,6.49,0,86,97,78
9/3/2021,6.04,0.21,85,95,78
9/4/2021,6.26,0,85,96,76
9/5/2021,5.59,0,86,99,77
9/6/2021,6.26,0,86,97,77
9/7/2021,4.92,0,85,96,74
9/8/2021,5.37,0,82,97,69
9/9/2021,7.83,0,82,96,70
9/10/2021,5.59,0,81,94,68
9/11/2021,3.58,0,78,93,63
9/12/2021,5.59,0,81,95,69
9/13/2021,8.5,0,80,89,72
9/14/2021,12.75,0,75,81,72
9/15/2021,9.62,0,77,89,72
9/16/2021,7.83,0,80,89,70
9/17/2021,3.36,0,80,94,69
9/18/2021,3.8,0,82,94,72
9/19/2021,4.92,0,84,96,73
9/20/2021,8.05,0,85,98,75
9/21/2021,9.62,0,85,98,76
9/22/2021,12.3,0,78,87,64
9/23/2021,2.91,0,72,87,55
9/24/2021,3.58,0,73,87,59
9/25/2021,2.24,0,74,89,59
9/26/2021,4.7,0,76,90,61
9/27/2021,4.25,0,77,90,67
9/28/2021,6.93,1.02,81,94,70
9/29/2021,5.82,1.49,76,86,68
9/30/2021,5.37,0,78,92,72
10/1/2021,6.26,1.15,76,81,73
10/2/2021,2.91,0,77,88,70
10/3/2021,4.47,0,80,91,72
10/4/2021,6.71,0,78,90,67
10/5/2021,4.92,0,74,88,60
10/6/2021,2.01,0,74,88,60
10/7/2021,4.92,0,76,89,64
10/8/2021,5.37,0,77,89,65
10/9/2021,7.83,0,76,89,66
10/10/2021,15.43,0,79,92,70
10/11/2021,4.25,0.31,76,86,65
10/12/2021,11.86,0.05,79,91,73
10/13/2021,12.53,0.02,82,91,75
10/14/2021,7.38,1.43,78,84,73
10/15/2021,10.29,0.12,78,89,65
10/16/2021,10.96,0,67,76,54
10/17/2021,4.25,0,62,76,49
10/18/2021,4.47,0,64,77,51
10/19/2021,7.38,0,69,82,57
10/20/2021,1.34,0,74,88,64
10/21/2021,2.24,0,78,90,68
10/22/2021,5.37,0,78,88,70
10/23/2021,8.72,0.11,77,87,69
10/24/2021,6.26,0,76,88,67
10/25/2021,4.47,0,78,88,73
10/26/2021,12.97,0.01,79,87,72
10/27/2021,12.75,1.02,75,80,59
10/28/2021,14.54,0,66,77,56
10/29/2021,13.2,0,64,73,52
10/30/2021,3.8,0,60,77,45
10/31/2021,2.91,0,65,82,51
11/1/2021,4.92,0,67,80,54
11/2/2021,4.03,0,68,80,58
11/3/2021,9.84,1.57,63,68,51
11/4/2021,9.4,0,53,62,49
11/5/2021,4.25,0,53,64,44
11/6/2021,3.36,0,55,69,45
11/7/2021,4.47,0,58,73,47
11/8/2021,6.71,0,62,77,50
11/9/2021,6.71,0,65,79,56
11/10/2021,10.74,0,70,81,63
11/11/2021,10.07,0.05,69,75,56
11/12/2021,5.82,0,61,76,46
11/13/2021,4.25,0,56,68,41
11/14/2021,4.7,0,59,78,47
11/15/2021,6.93,0,67,82,57
11/16/2021,10.29,0,69,82,60
11/17/2021,9.4,0,72,84,63
11/18/2021,12.75,0,64,69,50
11/19/2021,6.26,0,55,67,43
11/20/2021,6.26,0,58,75,47
11/21/2021,8.95,0,69,77,59
11/22/2021,7.61,0,61,71,45
11/23/2021,6.26,0,54,71,40
11/24/2021,11.63,0,65,80,54
11/25/2021,11.41,0.15,65,70,50
11/26/2021,7.16,0,51,56,43
11/27/2021,3.8,0.47,49,53,45
11/28/2021,4.25,0.22,54,68,46
11/29/2021,3.36,0,54,70,40
11/30/2021,5.82,0,58,74,46
12/1/2021,4.7,0,62,78,49
12/2/2021,2.91,0,64,78,52
12/3/2021,6.49,0,68,77,64
12/4/2021,6.49,0,71,82,66
12/5/2021,10.51,0,72,81,68
12/6/2021,11.41,0.56,69,74,48
12/7/2021,6.71,0,55,69,45
12/8/2021,6.93,0,65,76,55
12/9/2021,9.84,0,69,80,65
12/10/2021,13.65,0,77,85,73
12/11/2021,13.2,0.8,62,76,41
12/12/2021,4.7,0,48,63,37
12/13/2021,3.13,0.01,54,65,47
12/14/2021,9.4,0.05,69,78,65
12/15/2021,14.09,0,74,83,71
12/16/2021,10.29,0,75,83,71
12/17/2021,10.74,0,74,80,68
12/18/2021,13.2,0.86,66,72,49
12/19/2021,10.29,0,49,57,42
12/20/2021,5.59,0.01,50,59,44
12/21/2021,3.13,0,49,64,39
12/22/2021,8.5,0,56,72,47
12/23/2021,11.41,0,64,77,56
12/24/2021,13.65,0,68,79,60
12/25/2021,6.49,0,69,75,63
12/26/2021,12.53,0,70,82,62
12/27/2021,12.3,0,73,81,69
12/28/2021,8.95,0,73,79,66
12/29/2021,5.59,0,73,82,65
12/30/2021,3.58,0,70,81,58
12/31/2021,13.2,0,72,83,64
